Product_ID,Product_Name,Brand,Category,Price,Sale_Price,Rating,Review_Count,In_Stock,Stock_Count,Image_URL,Short_Description,Key_Features,Screen_Size,Storage_Capacity,RAM_Memory,Processor,Operating_System,Color_Options,Weight,Dimensions,Warranty_Period,Energy_Rating,Connectivity,Battery_Life,Camera_Resolution,Audio_Features,Special_Features,Compatibility,Bundle_Available,Free_Shipping,Prime_Eligible,Return_Policy
ELEC001,"Galaxy S24 Ultra 256GB",Samsung,Smartphone,$1299.99,$1199.99,4.4,8437,Yes,47,/images/samsung-s24-ultra.jpg,"Premium flagship smartphone with S Pen and advanced camera system","6.8-inch Dynamic AMOLED display, 200MP main camera, S Pen included, 5000mAh battery",6.8 inches,256GB,12GB,Snapdragon 8 Gen 3,Android 14,"Black, Gray, Violet, Yellow",8.22 oz,6.40 x 3.11 x 0.34 inches,1 Year,N/A,"5G, Wi-Fi 7, Bluetooth 5.3, USB-C",Up to 28 hours,200MP + 50MP + 10MP + 12MP,"Stereo speakers, Dolby Atmos","S Pen, IP68 water resistance, Wireless charging","Universal, unlocked",Yes,Yes,Yes,30 days
ELEC002,"MacBook Air 13-inch M3",Apple,Laptop,$1099.99,$999.99,4.6,12043,Yes,23,/images/macbook-air-m3.jpg,"Lightweight laptop with M3 chip and all-day battery life","M3 chip, 13.6-inch Liquid Retina display, 18-hour battery, fanless design",13.6 inches,256GB SSD,8GB,Apple M3,macOS Sonoma,"Space Gray, Silver, Starlight, Midnight",2.7 lbs,11.97 x 8.46 x 0.44 inches,1 Year,Energy Star,"Wi-Fi 6E, Bluetooth 5.3, 2x Thunderbolt",Up to 18 hours,1080p FaceTime HD camera,"Four-speaker sound system, Spatial Audio","Touch ID, Backlit keyboard","Mac ecosystem",Yes,Yes,Yes,14 days
ELEC003,"OLED55C4PUA 55-inch Smart TV",LG,Television,$1396.99,$1296.99,4.5,3892,Yes,12,/images/lg-c4-oled.jpg,"Premium OLED TV with perfect blacks and gaming features","55-inch 4K OLED, α9 AI Processor, HDMI 2.1, webOS smart platform",55 inches,N/A,N/A,α9 Gen7 AI Processor 4K,webOS 24,Black,41.9 lbs,48.3 x 27.6 x 1.8 inches,1 Year,Energy Star,"Wi-Fi, Bluetooth, 4x HDMI 2.1, 3x USB",N/A,N/A,"Dolby Vision IQ, Dolby Atmos","120Hz, G-SYNC, VRR, ALLM","Gaming consoles, streaming devices",Yes,Yes,Yes,30 days
ELEC004,"AirPods Pro 2nd Generation",Apple,Headphones,$249.99,$199.99,4.7,15632,Yes,156,/images/airpods-pro-2.jpg,"Premium wireless earbuds with active noise cancellation","Active Noise Cancellation, Transparency mode, Spatial Audio, MagSafe charging",N/A,N/A,N/A,H2 chip,iOS/iPadOS compatible,White,0.19 oz each,1.22 x 0.86 x 0.94 inches,1 Year,N/A,"Bluetooth 5.3, Lightning/USB-C",Up to 6 hours (30 hours with case),N/A,"Adaptive EQ, Spatial Audio","Sweat and water resistant (IPX4), Hey Siri","iPhone, iPad, Mac, Apple TV",Yes,Yes,Yes,14 days
ELEC005,"PlayStation 5 Slim Digital",Sony,Gaming Console,$399.99,$379.99,4.3,7284,Yes,8,/images/ps5-slim-digital.jpg,"Next-gen gaming console with ultra-high speed SSD","Custom SSD, Ray tracing, 3D Audio, DualSense controller included",N/A,825GB SSD,16GB GDDR6,Custom AMD Zen 2,PlayStation OS,White,7.05 lbs,15.4 x 4.1 x 10.2 inches,1 Year,N/A,"Wi-Fi 6, Bluetooth 5.1, Ethernet, USB",N/A,N/A,"Tempest 3D AudioTech","4K gaming, Ray tracing, Backward compatibility","4K TVs, PlayStation accessories",Yes,Yes,Yes,30 days
ELEC006,"Nighthawk AX6000 WiFi Router",Netgear,Networking,$299.99,$249.99,4.2,2147,Yes,34,/images/netgear-ax6000.jpg,"High-performance WiFi 6 router for large homes","WiFi 6 technology, covers up to 3500 sq ft, supports 50+ devices",N/A,N/A,N/A,1.8GHz quad-core,Netgear OS,Black,2.65 lbs,12.4 x 8.1 x 2.8 inches,1 Year,N/A,"WiFi 6, 8x Gigabit Ethernet, 2x USB 3.0",N/A,N/A,N/A,"MU-MIMO, Beamforming+, Smart Connect","All WiFi devices",No,Yes,Yes,30 days
ELEC007,"iPad Pro 12.9-inch M4",Apple,Tablet,$1099.99,$1049.99,4.5,4521,Yes,19,/images/ipad-pro-m4.jpg,"Professional tablet with M4 chip and Liquid Retina XDR display","12.9-inch Liquid Retina XDR, M4 chip, Apple Pencil Pro support, Face ID",12.9 inches,256GB,8GB,Apple M4,iPadOS 18,"Space Black, Silver",1.28 lbs,11.04 x 8.48 x 0.21 inches,1 Year,N/A,"Wi-Fi 6E, Bluetooth 5.3, USB-C, 5G optional",Up to 10 hours,12MP Wide + 10MP Ultra Wide,"Four-speaker audio, Spatial Audio","Face ID, Apple Pencil Pro support, Magic Keyboard support","iPad accessories, Mac ecosystem",Yes,Yes,Yes,14 days
ELEC008,"WH-1000XM5 Wireless Headphones",Sony,Headphones,$399.99,$329.99,4.6,9876,Yes,67,/images/sony-xm5.jpg,"Premium noise-canceling headphones with industry-leading ANC","30-hour battery, Multipoint connection, Quick Attention mode, LDAC",N/A,N/A,N/A,V1 processor + QN1,Sony Headphones Connect app,"Black, Silver",8.81 oz,10.73 x 9.94 x 3.03 inches,1 Year,N/A,"Bluetooth 5.2, NFC, 3.5mm jack, USB-C",Up to 30 hours,N/A,"360 Reality Audio, DSEE Extreme","Industry-leading noise canceling, Quick Charge","Smartphones, tablets, computers",Yes,Yes,Yes,30 days
ELEC009,"Galaxy Watch6 Classic 47mm",Samsung,Smartwatch,$429.99,$379.99,4.3,3456,Yes,41,/images/galaxy-watch6.jpg,"Premium smartwatch with rotating bezel and health tracking","1.5-inch Super AMOLED, rotating bezel, comprehensive health sensors",1.5 inches,16GB,2GB,Exynos W930,Wear OS,"Black, Silver",59g,1.81 x 1.77 x 0.43 inches,1 Year,N/A,"Bluetooth 5.3, Wi-Fi, NFC, GPS",Up to 40 hours,N/A,"Built-in speaker and microphone","Sleep tracking, ECG, Blood pressure, GPS","Android smartphones, Samsung ecosystem",Yes,Yes,Yes,15 days
ELEC010,"Arc Ultra Soundbar",Sonos,Audio,$999.99,$899.99,4.4,2341,Yes,15,/images/sonos-arc-ultra.jpg,"Premium soundbar with Dolby Atmos and wireless connectivity","Dolby Atmos, 11 drivers, Trueplay tuning, voice control support",N/A,N/A,N/A,Custom processors,Sonos OS,Black,13.78 lbs,45.0 x 4.32 x 2.87 inches,1 Year,N/A,"Wi-Fi, Ethernet, HDMI eARC, AirPlay 2",N/A,N/A,"Dolby Atmos, Speech Enhancement","Trueplay tuning, Voice control, Multi-room audio","TVs with HDMI eARC, Sonos ecosystem",Yes,Yes,Yes,45 days